ubc_number,mine,tsf,owner_company,country,latitude,longitude,status,construction_year,current_tailings_storage,planned_storage_5_years,hazard_categorization,source,link,index_right,um_class,conf,name,lith,ref_source,publish,dist_m,dist_km
1714,Plutonic Gold Mine,Callop Pit (CalPTSF),Superior Gold,Australia,-25.306116,119.504004,Rehabilitated,2006.0,794880.0,794880.0,Very Low,Global Tailing Dam [https://www.grida.no/publications/472],https://www.superior-gold.com/site/assets/files/2040/superior-gold-tsf-management.pdf,21843,major,high,metamorphosed ultramafic rocks 74286,igneous ultramafic volcanic; meta-igneous ultramafic intrusive,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,304.6298299451181,0.3
1712,Plutonic Gold Mine,Catfish Pit (CPTSF),Superior Gold,Australia,-25.317207,119.495048,Rehabilitated,2004.0,2497800.0,2497800.0,Very Low,Global Tailing Dam [https://www.grida.no/publications/472],https://www.superior-gold.com/site/assets/files/2040/superior-gold-tsf-management.pdf,21843,major,high,metamorphosed ultramafic rocks 74286,igneous ultramafic volcanic; meta-igneous ultramafic intrusive,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,0.0,0.0
1716,Plutonic Gold Mine,"Cut Throat Pit
(CTPTSF)",Superior Gold,Australia,-25.322362,119.508201,Rehabilitated,2011.0,725880.0,725880.0,Very Low,Global Tailing Dam [https://www.grida.no/publications/472],https://www.superior-gold.com/site/assets/files/2040/superior-gold-tsf-management.pdf,21843,major,high,metamorphosed ultramafic rocks 74286,igneous ultramafic volcanic; meta-igneous ultramafic intrusive,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,0.0,0.0
1713,Plutonic Gold Mine,Dogfish Pit (DPTSF),Superior Gold,Australia,-25.315875,119.500641,Rehabilitated,2005.0,1462800.0,1462800.0,Very Low,Global Tailing Dam [https://www.grida.no/publications/472],https://www.superior-gold.com/site/assets/files/2040/superior-gold-tsf-management.pdf,21843,major,high,metamorphosed ultramafic rocks 74286,igneous ultramafic volcanic; meta-igneous ultramafic intrusive,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,0.0,0.0
1711,Plutonic Gold Mine,"Perch North
TSF(PNTSF)",Superior Gold,Australia,-25.319927,119.487905,Rehabilitated,2003.0,369840.0,369840.0,Very Low,Global Tailing Dam [https://www.grida.no/publications/472],https://www.superior-gold.com/site/assets/files/2040/superior-gold-tsf-management.pdf,21843,major,high,metamorphosed ultramafic rocks 74286,igneous ultramafic volcanic; meta-igneous ultramafic intrusive,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,349.7805848232529,0.3
1709,Plutonic Gold Mine,"Perch Pit TSF
(PPTSF)",Superior Gold,Australia,-25.322689,119.487365,Rehabilitated,2000.0,9660000.0,9660000.0,Very Low,Global Tailing Dam [https://www.grida.no/publications/472],https://www.superior-gold.com/site/assets/files/2040/superior-gold-tsf-management.pdf,21843,major,high,metamorphosed ultramafic rocks 74286,igneous ultramafic volcanic; meta-igneous ultramafic intrusive,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,547.5832888314077,0.5
1710,Plutonic Gold Mine,"Perch West Pit TSF
(PWTSF)",Superior Gold,Australia,-25.322725,119.4825,Rehabilitated,2003.0,1204740.0,1204740.0,Very Low,Global Tailing Dam [https://www.grida.no/publications/472],https://www.superior-gold.com/site/assets/files/2040/superior-gold-tsf-management.pdf,21843,major,high,metamorphosed ultramafic rocks 74286,igneous ultramafic volcanic; meta-igneous ultramafic intrusive,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,977.4462795728406,1.0
1718,Plutonic Gold Mine,"Piranah Pit TSF
(PirTSF)",Superior Gold,Australia,-25.327306,119.518343,Rehabilitated,2010.0,1587000.0,1587000.0,Very Low,Global Tailing Dam [https://www.grida.no/publications/472],https://www.superior-gold.com/site/assets/files/2040/superior-gold-tsf-management.pdf,21843,major,high,metamorphosed ultramafic rocks 74286,igneous ultramafic volcanic; meta-igneous ultramafic intrusive,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,0.0,0.0
1715,Plutonic Gold Mine,"Rainbow Pit
(RPTSF)",Superior Gold,Australia,-25.319767,119.507463,Rehabilitated,2012.0,3215400.0,3215400.0,Very Low,Global Tailing Dam [https://www.grida.no/publications/472],https://www.superior-gold.com/site/assets/files/2040/superior-gold-tsf-management.pdf,21843,major,high,metamorphosed ultramafic rocks 74286,igneous ultramafic volcanic; meta-igneous ultramafic intrusive,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,0.0,0.0
1706,Plutonic Gold Mine,TSF#1,Superior Gold,Australia,-25.31331,119.456724,Rehabilitated,1990.0,17250000.0,17250000.0,Very Low,Global Tailing Dam [https://www.grida.no/publications/472],https://www.superior-gold.com/site/assets/files/2040/superior-gold-tsf-management.pdf,20452,major,high,metamorphosed ultramafic rocks 74286,igneous ultramafic volcanic; meta-igneous ultramafic intrusive,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,589.573580013487,0.6
