legend_id,source_id,scale,um_class,um_terms,um_rock,name,lith,area_km2,lith_id
25141,20,large,major,pyroxenit,pyroxenite,Sexton Mtn. Terrane; Sexton Mountain Ophiolite,"Major: {gabbro intrusives, lithology: ranges from pyroxenite to anorthosite; metamorphism: metamorphosed; mineralogy: pyroxene, plagioclase} Minor: {diabase dikes}; Minor: {cumulate gabbro, metamorphism: metamorphosed}",6.278,59;62;94;101
23870,20,large,major,serpentin,peridotite,Pickett Peak Terrane; Colebrook Schist,Major: {peridotite}; Major: {harzburgite}; Major: {serpentinite},3.046,61;88;128
20665,20,large,major,serpentin,serpentinite,Gold Beach Terrane,"Major: {serpentinite, mineralization: chromite, nickel, copper, asbestos} Minor: {pyroxenite, mineralization: chromite, nickel, copper, asbestos}; Minor: {dunite, mineralization: chromite, nickel, copper, asbestos}; Minor: {harzburgite, mineralization: chromite, nickel, copper, asbestos}",1.582,62;88;128
44461,25,large,major,ultramaf,pyroxenite,Ultramafic rock in the Clearwater and Bitterroot Mountains,"Major:: {pyroxenite, amphibolite}",0.111,62;86
16573,13,large,major,ultramaf,ultramafic rock (undifferentiated),Undifferentiated Dun Mountain Ultramafics Group gabbro,"Major:: {gabbro},Minor:: {norite}",6.416,59;108
86945,247,large,idonly,harmonised-lith-id,,Qikiqtarjuaq Plutonic Suite,,3.065,62;79;97;129;161
25522,20,large,idonly,harmonised-lith-id,,Western Klamath Terrane; Elk Subterrane,,2.983,88
19547,20,large,major,serpentin,serpentinite,Baker Terrane; Miller Mountain Melange,Major: {serpentinite},4.372,88
86925,246,large,idonly,harmonised-lith-id,,Qikiqtarjuaq Plutonic Suite,,5.689,62;79;97;129;161
53621,93,large,idonly,harmonised-lith-id,,"Central Belt of the Franciscan Complex, mélange",,52.901,12;18;30;45;76;78;84;86;87;88;91;132;133;176
19497,20,large,major,lherzol,harzburgite,Baker Terrane; Canyon Mountain Complex,"Major: {tectonite harzburgite, mineralogy: olivine serpentinized olivine orthopyroxene; zones: soil unsuitable for vegetation}; Major: {lherzolite}",35.13,128;157
25506,20,large,major,serpentin,serpentinite,Western Klamath Terrane,"Major: {serpentinite, green, blue black; serpentinization: complete}",1.259,88
25703,20,large,major,pyroxenit;serpentin,pyroxenite,Western Klamath Terrane; Smith River Subterrane; Josephine Ophiolite,"Major: {pyroxenite dikes, mineralogy: large platy enstatite, serpentine, bastite}",0.014,62
14278,13,large,minor,harzburg;pyroxenit,pyroxenite,Breaksea Orthogneiss (Western Fiordland Orthogneiss),"Major:: {orthogneiss},Minor:: {granulite, eclogite, diorite, gabbo, norite, pyroxenite, harzburgite}",46.661,57;62;79;108;110;128;132
19383,20,large,major,serpentin,serpentinite,Baker Terrane,Major: {serpentinite},9.664,88
46793,42,large,major,dunit;serpentin,dunite,Rocks of Menifee Valley: Amphibole- and pyroxene-bearing rocks associated with metadunite-serpentinite,,0.006,18;62;84;86;88;128
14658,13,large,major,ultramaf,pyroxenite,Hawes Head Ultramafics (Western Fiordland Orthogneiss),"Major:: {hornblendite},Minor:: {pyroxenite, peridotite, dunite}",4.175,61;62;128
25111,20,large,major,peridotit;serpentin,dunite,Sexton Mtn. Terrane; Greenback Melange,"Major: {dunite, serpentinization: serpentinized}; Major: {peridotite, serpentinization: serpentinized} Minor: {chromite}",41.34,61;128
53470,91,large,idonly,harmonised-lith-id,,Ward Creek (?) terrane,,0.332,78;84;88;193
86666,236,large,major,ophiolit,ophiolite complex,Ophiolitic intrusive rocks,,9.106,33
