dep_id,site_name,latitude,longitude,country,state,commod1,commod2,commod3,dev_stat,prod_size,ore,gangue,hrock_type,hrock_unit,asbestos,ultramafic_host_text
10109520,Mammoth Bar,38.92045,-121.00547,United States,California,Gold,Platinum,"Rhodium, Palladium, Iridium, Osmium",Producer,S,Gold,,Gravel,,False,False
10109521,Forks of Salmon,41.37566,-123.49197,United States,California,Gold,Platinum,,Producer,S,Gold,,Gravel,,False,False
10109522,Cavanaugh Mine,41.20122,-123.66392,United States,California,Gold,Platinum,,Producer,S,Gold,,Gravel,,False,False
10109523,Orleans Placer,41.29316,-123.55447,United States,California,Gold,Platinum,,Producer,S,Gold,,Gravel,,False,False
10109524,Big Lagoon Mining Co.,41.17872,-124.11587,United States,California,Gold,Platinum,,Producer,S,Gold,,Sand and Gravel,,False,False
10109525,Pioneer Placer Mine,41.44205,-124.06337,United States,California,Gold,Platinum,"Iridium, Osmium",Producer,S,Gold,,Sand and Gravel,,False,False
10109526,Myrtle Creek Placer,41.80149,-124.05533,United States,California,Gold,,Platinum,Producer,S,Gold,,Gravel,,False,False
10109559,Boundary Mine,46.69721,-81.32312,Canada,Ontario,"Copper, Platinum, Gold, Silver, Nickel",,,Producer,Y,"Chalcopyrite, Cubanite, Pentlandite, Pyrrhotite",,,,False,False
10109527,Craigs Creek,41.79482,-123.9606,United States,California,Gold,Platinum,,Producer,S,Gold,,Gravel,,False,False
10109528,Lind Mine,41.80593,-124.02227,United States,California,Gold,Platinum,,Producer,S,Gold,,Gravel,,False,False
10109529,Macintosh Mine,40.94484,-123.6303,United States,California,Gold,,"Osmium, Ruthenium, Palladium, Rhodium, Iridium",Producer,S,Gold,,Gravel,,False,False
10109530,Hammer Property,40.8904,-123.59419,United States,California,Gold,Platinum,"Osmium, Iridium",Producer,S,Gold,,Gravel,,False,False
10109531,Henderson Mine,40.89456,-123.56446,United States,California,Gold,Platinum,,Producer,S,Gold,,Gravel,,False,False
10109532,Kingsbury Gulch,40.50846,-123.14555,United States,California,Gold,Platinum,,Producer,S,Gold,,Gravel,,False,False
10109533,Castella,41.13685,-122.3201,United States,California,Gold,,Platinum,Producer,S,Gold,,Gravel,,False,False
10109534,Mann and Ross Mine,41.42511,-123.50336,United States,California,Gold,Platinum,"Iridium, Osmium",Producer,S,Gold,,Gravel,,False,False
10109535,Orcutt Hydraulic Mine,41.22234,-123.24974,United States,California,Gold,Platinum,,Producer,S,"Gold, Platinum",,Gravel,,False,False
10109560,Chicago Mine,46.41388,-81.46646,Canada,Ontario,"Copper, Nickel, Platinum, Silver, Gold",,,Producer,Y,"Chalcopyrite, Cubanite, Pentlandite, Pyrrhotite",,,,False,False
10109537,Snelling,37.51492,-120.39849,United States,California,Gold,Platinum,"Palladium, Rhodium, Ruthenium, Osmium, Iridium",Producer,S,Gold,,Gravel,Ione Formation,False,False
10109538,Altaville,38.10185,-120.55573,United States,California,Gold,Platinum,,Producer,S,Gold,,Conglomerate,Mehrten Formation,False,False
10109539,Roaring River,40.39486,-122.52553,United States,California,Gold,"Osmium, Iridium, Platinum",,Producer,S,Gold,,Gravel,,False,False
10109540,Butte Creek,39.69876,-121.783,United States,California,Gold,Platinum,,Producer,S,Gold,,Gravel,,False,False
10109541,Archer Placer Claim,41.26719,-106.18923,United States,Wyoming,Gold,,"Iridium, Platinum, Osmium, Palladium",Producer,S,Galena,,Gravel,,False,False
10109542,Compton Mine,44.73235,-118.77273,United States,Oregon,Gold,"Platinum, Silver","Copper, Zinc, Arsenic, Lead",Producer,S,"Galena, Pyrite, Sphalerite",,Slate,,False,False
10109561,Crean Hill Mine,46.43055,-81.35146,Canada,Ontario,"Copper, Nickel, PGE","Silver, Cobalt, Gold","Selenium, Tellurium",Producer,Y,"Chalcopyrite, Cobaltite, Cubanite, Gersdorffite, Pentlandite, Pyrrhotite, Sperrylite",,Greenstone,,False,False
10109543,Spanish Gulch Placers,44.46067,-119.77692,United States,Oregon,Gold,,"Platinum, Silver, Chromium",Producer,S,"Chromite, Gold",,Gravel,,False,False
10109545,"North Fork, Clearwater River",46.50266,-116.31462,United States,Idaho,Gold,,Platinum,Producer,S,"Garnet, Gold, Ilmenite, Magnetite",,Gravel,,False,False
10109546,Taramakau River,-42.57067,171.18753,New Zealand,,"Platinum, Silver",,,Producer,Y,Pyrite,,,,False,False
10109547,Wharetea Creek,-41.73011,171.71505,New Zealand,,"Platinum, Gold",,"Osmium, Iridium, Iron",Producer,S,Gold,,,,False,False
10109548,Taipo Gorge Reef,-42.73929,171.26614,New Zealand,,"Platinum, Silver, Copper",,,Producer,Y,"Chalcopyrite, Pyrite",,"Schist,Mica Schist",,False,False
10109549,Conceicao Do Mato Dentro,-19.03085,-43.43951,Brazil,Minas Gerais,Gold,Platinum,,Producer,S,,,,,False,False
10109550,Passagem,-20.31887,-43.43366,Brazil,Minas Gerais,Gold,,Palladium,Producer,Y,,,,,False,False
10109551,Maracana,-18.49752,-41.49892,Brazil,Minas Gerais,Platinum,,"Chromium, Titanium, Metal",Producer,Y,"Chromite, Ilmenite, Perovskite, Platinum",,,,False,False
10109552,Rio Cridare,-18.49752,-41.49892,Brazil,Minas Gerais,"Gold, Diamond",Platinum,,Producer,Y,"Ilmenite, Perovskite, Platinum",,,,False,False
10109553,Mata Da Corda,-17.69757,-45.39899,Brazil,Minas Gerais,Platinum,Diamond,,Producer,Y,,,,,False,False
10109554,Lady Violet Mine,50.07311,-85.83252,Canada,Ontario,"Silver, Gold, Platinum, Nickel, Copper",,,Producer,Y,"Chalcopyrite, Cubanite, Pentlandite, Pyrrhotite",,,,False,False
10109555,Coleman Mine,46.68332,-81.33312,Canada,Ontario,"PGE, Nickel, Copper","Gold, Silver, Cobalt","Tellurium, Selenium",Producer,Y,"Chalcopyrite, Cubanite, Pentlandite, Pyrrhotite",,Mafic Intrusive Rock,,False,False
10109556,Aer Nickel Mine,46.33332,-81.44979,Canada,Ontario,"Copper, Nickel, Platinum, Gold, Silver",,,Producer,Y,"Chalcopyrite, Cubanite, Pentlandite, Pyrrhotite",,,,False,False
10109557,North Star Mine,46.45832,-81.17617,Canada,Ontario,"Copper, Gold, Silver, Nickel, Platinum",,,Producer,Y,"Chalcopyrite, Cubanite, Pentlandite, Pyrrhotite",,,,False,False
10109558,Nickel Rim Mine,46.75888,-80.80394,Canada,Ontario,"Nickel, Copper, Platinum, Gold, Silver",,,Producer,Y,"Chalcopyrite, Cubanite, Pentlandite, Pyrrhotite",,,,False,False
10109562,Clarabelle No. 2,46.49999,-81.09978,Canada,Ontario,"Copper, Nickel, Platinum, Gold, Silver",,,Producer,Y,"Chalcopyrite, Cubanite, Pentlandite, Pyrrhotite",,Norite,,False,False
10109563,Bear Creek,65.5494,-161.07,United States,Alaska,Gold,"Lead, Silver, Zinc","Platinum, Palladium, Iridium, Osmium, Rhodium, Ruthenium",Producer,Y,,,,,False,False
10109565,Ushiuchi,43.37596,142.56366,Japan,Hokkaido,Platinum,,PGE,Producer,S,Iridosmine,,,,False,False
10109566,Rock Creek,49.08317,-119.00115,Canada,British Columbia,"Gold, Platinum",,,Producer,Y,"Chromite, Garnet, Magnetite",,,,False,False
10109567,Thibert Creek,58.81788,-130.22495,Canada,British Columbia,Gold,Platinum,,Producer,S,,,,,False,False
10109568,Soab North and South,55.21673,-98.41716,Canada,Manitoba,"Nickel, Copper",Cobalt,"PGE, Gold, Silver, Selenium, Tellurium",Producer,Y,"Chalcopyrite, Pentlandite, Pyrite, Pyrrhotite",,"Peridotite,Schist",,False,True
10109569,Wedza Mine,-20.28772,29.8097,Zimbabwe,,"Platinum, Nickel","Iridium, Palladium, Gold, Copper",,Producer,Y,"Malachite, Sperrylite",,,,False,False
10109570,Landeskrone Mine,50.81547,8.10226,Germany,,"Gold, Silver",,Platinum,Producer,Y,,,,,False,False
10109571,Meschede,51.34879,8.26896,Germany,,"Copper, Zinc","Silver, Gold","Platinum, Chromium, Nickel",Producer,Y,,,Siltstone,,False,False
10109572,Musen,51.10531,10.39592,Germany,,Nickel,"Gold, Silver","Cobalt, Platinum, Arsenic",Producer,Y,Siegenite,,,,False,False
10109573,Andreasberg,51.49875,10.70229,Germany,,"Silver, Gold",Platinum,Arsenic,Producer,Y,,,,,False,False
10109574,Rudolph Grube Mine,51.10531,10.39592,Germany,,Platinum,,"Rhodium, Palladium",Producer,Y,,,,,False,False
10109575,Kappatgode Region,15.4334,74.98379,India,,"Silver, Gold",,Platinum,Producer,Y,Silver,,,,False,False
10109576,Dhangaon,23.58265,80.18367,India,Madhya Pradesh,Aluminum,,Platinum,Producer,Y,Bauxite,,,,False,False
10109577,Rio Jequitinhonma,-17.34757,-42.99894,Brazil,Minas Gerais,Platinum,Chromium,,Producer,Y,,,,,False,False
10109578,Rio Para,-19.7475,-44.91564,Brazil,Minas Gerais,Gold,Palladium,,Producer,Y,,,,,False,False
10109579,Arrayas,-10.77098,-53.089,Brazil,,"Palladium, Gold",,,Producer,Y,,,,,False,False
10109580,Maquine,-20.36414,-43.39894,Brazil,Minas Gerais,"Palladium, Platinum, Gold",,,Producer,Y,Hematite,,,,False,False
10109581,Rio Do Carmo,-20.39025,-43.45727,Brazil,Minas Gerais,"Gold, Palladium",,,Producer,Y,,,Sand and Gravel,,False,False
10109582,Morro Pilar,-19.23084,-43.38228,Brazil,Minas Gerais,"Platinum, Palladium",,,Producer,Y,"Hematite, Zircon",,,,False,False
