z,x,y,source_id,n_features
5,19,10,147,318
5,19,11,147,707
5,19,12,147,1262
5,19,12,190,7
5,19,13,190,156
5,19,13,147,85
5,19,13,154,8
5,19,14,190,176
5,19,14,154,14
5,19,15,190,160
5,19,15,154,1
5,19,16,190,160
5,19,16,154,7
5,19,17,190,226
5,19,17,154,15
5,19,18,190,23
5,19,18,154,2
5,19,24,154,2
5,19,25,154,2
5,19,26,154,1
5,19,27,154,1
5,19,28,154,1
5,19,29,154,1
5,19,30,154,1
5,19,31,154,1
5,20,2,2,20
5,20,3,2,159
5,20,3,147,15
5,20,4,147,11
5,20,5,147,43
5,20,5,2,33
5,20,6,147,143
5,20,6,2,159
5,20,7,2,100
5,20,7,147,118
5,20,8,2,109
5,20,9,2,23
5,20,9,147,38
5,20,10,147,442
5,20,11,147,560
5,20,12,147,843
5,20,12,154,22
5,20,13,147,133
5,20,13,154,25
5,20,13,190,7
5,20,14,190,50
5,20,14,154,11
5,20,15,190,22
5,20,15,154,1
5,20,16,154,2
5,20,16,190,1
5,20,17,154,20
5,20,17,190,277
5,20,18,190,51
5,20,18,154,2
5,20,20,154,2
5,20,23,154,1
5,20,24,154,2
5,20,25,154,1
5,20,26,154,1
5,20,27,154,1
5,20,28,154,1
5,20,29,154,1
5,20,30,154,1
5,20,31,154,1
5,21,2,2,53
5,21,3,2,84
5,21,3,147,1
5,21,4,2,10
5,21,4,147,8
5,21,5,2,152
5,21,5,147,79
5,21,6,147,48
5,21,6,2,63
5,21,7,147,119
5,21,7,2,194
5,21,8,2,191
5,21,9,147,257
5,21,9,2,78
5,21,10,147,686
5,21,10,154,7
5,21,11,147,133
5,21,11,154,15
5,21,12,154,33
5,21,12,147,3
5,21,13,154,38
5,21,14,154,5
5,21,17,154,2
5,21,23,154,1
5,21,24,154,7
5,21,25,154,3
5,21,26,154,1
5,21,27,154,1
5,21,28,154,1
5,21,29,154,1
5,21,30,154,1
5,21,31,154,1
5,22,3,2,2
5,22,4,2,5
5,22,4,147,9
5,22,5,2,17
5,22,5,147,25
5,22,6,147,15
5,22,6,2,27
5,22,7,147,49
5,22,7,2,118
5,22,8,147,15
5,22,8,2,46
5,22,9,2,14
5,22,9,147,19
5,22,9,154,1
5,22,10,154,21
5,22,10,147,12
5,22,11,154,41
5,22,12,154,54
5,22,13,154,28
5,22,14,154,22
5,22,15,154,9
5,22,16,154,2
5,22,20,154,2
5,22,21,154,3
5,22,24,154,5
5,22,25,154,5
5,22,26,154,1
5,22,27,154,1
5,22,28,154,1
